YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,RH
2011,1,14,0.0,30.3,23.8,27.1,1.0,20.0,80.0
2011,1,15,45.5,33.0,22.8,27.9,2.0,340.0,84.0
2011,1,16,0.0,28.3,21.8,25.1,2.0,40.0,72.0
2011,1,17,0.0,27.7,21.5,24.6,1.0,360.0,70.0
2011,1,18,0.0,30.2,21.5,25.9,1.0,40.0,44.0
2011,1,19,4.5,29.0,21.9,25.5,2.0,360.0,87.0
2011,1,20,51.5,31.5,22.3,26.9,1.0,270.0,90.0
2011,1,21,31.3,32.5,23.4,28.0,1.0,110.0,89.0
2011,1,22,4.0,30.6,24.2,27.4,1.0,220.0,88.0
2011,1,23,0.0,30.6,23.8,27.2,1.0,20.0,82.0
2011,1,24,10.4,29.4,22.5,26.0,2.0,340.0,95.0
2011,1,25,0.0,29.2,21.8,25.5,1.0,360.0,79.0
2011,1,26,0.0,30.5,21.2,25.9,1.0,360.0,78.0
2011,1,27,0.0,30.0,20.3,25.2,1.0,360.0,78.0
2011,1,28,0.0,30.7,21.8,26.3,1.0,360.0,74.0
